ward_id,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
50,3791,9087,8164,889,297,16,14513,2738,7434,6525,909,6218,9817,15.87,4.55,43.09,5.15,1.81,56.91
51,3273,7164,6392,718,906,48,11941,1615,5705,4905,800,4799,7851,11.91,4.14,42.08,5.3,7.04,57.92
52,3304,10205,6664,1289,355,27,13427,3442,7104,6690,414,6443,9765,20.4,5.11,42.11,7.64,2.26,57.89
53,5405,13862,11736,1670,536,37,21412,4186,10460,8599,1861,8159,15138,16.35,4.74,40.86,6.52,2.24,59.14
54,6666,18937,17298,3365,550,11,26986,9249,13381,11813,1568,11282,22854,25.53,5.44,36.93,9.29,1.55,63.07
55,6745,17450,14804,2502,924,52,25243,7011,12189,10689,1500,10371,20065,21.74,4.78,37.79,7.76,3.03,62.21
56,8941,23018,20604,3426,1356,59,34379,9243,16780,14028,2752,13477,26842,21.19,4.88,38.47,7.85,3.24,61.53
57,11051,26142,23714,4414,4143,37,36444,13412,20646,17351,3295,16471,29210,26.9,4.51,41.41,8.85,8.38,58.59
58,20093,46207,42258,9277,20125,684,58873,29592,34445,29336,5109,27481,54020,33.45,4.4,38.94,10.49,23.52,61.06
59,15157,36341,33920,6660,785,155,51132,19129,27731,23822,3909,22803,42530,27.23,4.64,39.47,9.48,1.34,60.53
60,6755,18964,16768,3304,264,39,26457,9275,13273,11259,2014,10751,22459,25.96,5.29,37.15,9.25,0.85,62.85
61,5447,15954,13750,2678,573,13,21768,7936,10846,9261,1585,8821,18858,26.72,5.45,36.51,9.02,1.97,63.49
62,6400,18736,16096,3395,115,23,27049,7783,12614,11038,1576,10589,22218,22.34,5.44,36.21,9.75,0.4,63.79
63,4674,14292,10095,1376,282,42,19419,4968,10924,9897,1027,9786,13463,20.37,5.22,44.79,5.64,1.33,55.21
64,6342,16652,14628,2755,246,11,24307,6973,12124,10525,1599,10028,19156,22.29,4.93,38.76,8.81,0.82,61.24
65,14092,38317,34110,6400,3798,29,53744,18683,27244,24096,3148,23115,45183,25.8,5.14,37.62,8.84,5.28,62.38
66,20797,51138,46886,11526,2599,143,70021,28003,34821,30195,4626,29020,63203,28.57,4.71,35.52,11.76,2.8,64.48
67,13631,28910,27374,4060,3449,252,46753,9531,23116,20498,2618,20135,33168,16.93,4.13,41.07,7.21,6.58,58.93
68,4812,10434,10290,1036,704,5,17888,2836,8625,8080,545,7898,12099,13.68,4.31,41.62,5.0,3.42,58.38
69,9615,22906,21205,3283,1959,76,35139,8972,19528,16589,2939,15931,24583,20.34,4.59,44.27,7.44,4.61,55.73
70,3879,9750,8868,935,485,30,16657,1961,7520,7073,447,6994,11098,10.53,4.8,40.39,5.02,2.77,59.61
71,6266,15550,14372,1577,1214,43,26081,3841,11790,10535,1255,10297,18132,12.84,4.78,39.4,5.27,4.2,60.6
72,4306,10160,9007,995,1042,6,16366,2801,8488,7854,634,7605,10679,14.61,4.45,44.28,5.19,5.47,55.72
73,5260,12541,10971,1329,462,292,19805,3707,10093,8316,1777,8024,13419,15.77,4.47,42.93,5.65,3.21,57.07
74,9189,24148,18028,2675,996,151,33404,8772,17467,15460,2007,15175,24709,20.8,4.59,41.41,6.34,2.72,58.59
75,5978,15370,11555,2605,619,37,19521,7404,12040,10202,1838,9932,14885,27.5,4.5,44.72,9.68,2.44,55.28
76,5052,11507,10439,1750,208,12,17853,4093,8122,7559,563,7491,13824,18.65,4.34,37.01,7.97,1.0,62.99
77,8829,24156,21828,4469,108,19,34807,11177,15785,13935,1850,13159,30199,24.31,5.21,34.33,9.72,0.28,65.67
