ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
26,Ward 26,4,22.588496,88.363878,25371,0.3527,71934.0,4.39,0.0,0.0155,0.0,661,1874.0,5659,13692,11679,1674,1428,6,19513,5858,10642,10036,606,9645,14729,23.09,4.48,41.95,6.6,5.65,58.05
27,Ward 27,4,22.585272,88.371133,19350,0.4249,45540.0,4.31,1.86,0.0183,0.0079,586,1379.0,4352,10271,9079,1045,553,27,16144,3206,7882,7232,650,6796,11468,16.57,4.45,40.73,5.4,3.0,59.27
28,Ward 28,4,22.580313,88.376427,38110,0.4254,89586.0,0.85,2.87,0.0036,0.0122,628,1476.0,7223,20788,17322,3169,1532,20,27738,10372,14740,12925,1815,12674,23370,27.22,5.28,38.68,8.32,4.07,61.32
29,Ward 29,3,22.576912,88.380059,53782,0.5636,95426.0,0.0,4.36,0.0,0.0246,363,644.0,9047,28942,24840,5550,2621,63,34094,19688,20558,18184,2374,15716,33224,36.61,5.94,38.22,10.32,4.99,61.78
30,Ward 30,3,22.576885,88.3855,30050,0.58,51810.0,1.4,0.95,0.0081,0.0055,689,1188.0,6747,15649,14401,2038,2834,4,24849,5201,11938,9842,2096,9330,18112,17.31,4.45,39.73,6.78,9.44,60.27
31,Ward 31,3,22.575555,88.396314,39025,1.385,28177.0,2.94,1.31,0.0407,0.0181,1372,991.0,8800,20995,18030,3186,2137,69,31638,7387,15498,14307,1191,14050,23527,18.93,4.43,39.71,8.16,5.65,60.29
32,Ward 32,3,22.587739,88.393796,45636,1.665,27409.0,8.0,6.41,0.1332,0.1068,1291,775.0,10708,22931,22705,3189,5612,154,32145,13491,18578,17105,1473,16680,27058,29.56,4.26,40.71,6.99,12.63,59.29
33,Ward 33,3,22.564964,88.400904,45919,1.8277,25124.0,19.75,2.0,0.3609,0.0365,1882,1030.0,11095,22818,23101,2873,3943,62,39247,6672,18932,16840,2092,16311,26987,14.53,4.14,41.23,6.26,8.72,58.77
34,Ward 34,3,22.564465,88.390332,29773,0.7887,37749.0,0.0,4.29,0.0,0.0338,1123,1424.0,7611,14797,14976,1702,1540,14,26079,3694,12371,10458,1913,10081,17402,12.41,3.91,41.55,5.72,5.22,58.45
35,Ward 35,3,22.567795,88.383257,35024,0.8311,42142.0,0.0,3.95,0.0,0.0328,972,1170.0,8524,17481,17543,1950,1945,69,30244,4780,14070,12391,1679,12151,20954,13.65,4.11,40.17,5.57,5.75,59.83
36,Ward 36,5,22.569741,88.374344,27238,0.9894,27530.0,0.69,1.16,0.0068,0.0115,370,374.0,4574,16743,10495,2142,1049,93,16648,10590,12888,11183,1705,10682,14350,38.88,5.95,47.32,7.86,4.19,52.68
37,Ward 37,5,22.574398,88.370466,24020,0.3139,76521.0,2.2,0.0,0.0069,0.0,475,1513.0,4688,14057,9963,1627,2860,35,17717,6303,10546,9523,1023,8793,13474,26.24,5.12,43.91,6.77,12.05,56.09
38,Ward 38,4,22.580179,88.369821,28791,0.4918,58542.0,1.89,0.41,0.0093,0.002,665,1352.0,6500,16196,12595,1862,1305,31,23097,5694,12780,12084,696,10667,16011,19.78,4.43,44.39,6.47,4.64,55.61
39,Ward 39,4,22.579681,88.363188,21296,0.2015,105687.0,8.78,0.0,0.0177,0.0,205,1017.0,3716,12165,9131,2082,828,1,14078,7218,7869,7013,856,6705,13427,33.89,5.73,36.95,9.78,3.89,63.05
40,Ward 40,5,22.575021,88.365648,20549,0.3678,55870.0,5.3,2.8,0.0195,0.0103,733,1993.0,4733,11771,8778,871,770,7,17345,3204,9202,8626,576,8308,11347,15.59,4.34,44.78,4.24,3.78,55.22
41,Ward 41,5,22.581962,88.359612,19946,0.2098,95071.0,11.58,0.0,0.0243,0.0,182,867.0,3425,11540,8406,1411,273,52,15483,4463,8701,7858,843,7412,11245,22.38,5.82,43.62,7.07,1.63,56.38
42,Ward 42,5,22.57952,88.354408,21746,0.3217,67597.0,0.0,0.0,0.0,0.0,354,1100.0,3749,15827,5919,1018,320,16,15550,6196,13767,9250,4517,8983,7979,28.49,5.8,63.31,4.68,1.55,36.69
43,Ward 43,5,22.576568,88.356467,17677,0.2364,74776.0,0.0,0.0,0.0,0.0,294,1244.0,2878,10899,6778,1429,42,1,12920,4757,7268,6354,914,6158,10409,26.91,6.14,41.12,8.08,0.24,58.88
44,Ward 44,5,22.574504,88.360136,29600,0.5221,56694.0,0.25,0.0,0.0013,0.0,436,835.0,5043,17727,11873,2384,461,25,21525,8075,11257,10127,1130,9861,18343,27.28,5.87,38.03,8.05,1.64,61.97
45,Ward 45,5,22.572681,88.348747,8394,1.5407,5448.0,27.14,1.31,0.4181,0.0202,470,305.0,1704,5823,2571,511,173,30,5888,2506,4691,4361,330,4291,3703,29.85,4.93,55.89,6.09,2.42,44.11
46,Ward 46,6,22.563918,88.351177,12823,1.308,9804.0,7.96,0.62,0.1041,0.0081,537,411.0,2316,7684,5139,956,820,8,10132,2691,5804,4878,926,4727,7019,20.99,5.54,45.26,7.46,6.46,54.74
47,Ward 47,6,22.567675,88.358287,14684,0.4034,36401.0,0.0,0.0,0.0,0.0,550,1363.0,3271,8427,6257,969,988,106,12052,2632,6512,6019,493,5870,8172,17.92,4.49,44.35,6.6,7.45,55.65
