ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2,households,pop_male,pop_female,pop_under6,pop_sc,pop_st,pop_literate,pop_illiterate,workers_total,workers_main,workers_marginal,workers_other,non_workers,illiteracy_pct,hh_size,worker_pct,under6_pct,scst_pct,nonworker_pct
109,Ward 109,12,22.487807,88.402442,64567,7.0971,9098.0,3.76,5.78,0.2669,0.4102,6272,884.0,16238,32460,32107,5575,15581,197,50435,14132,26883,23271,3612,22578,37684,21.89,3.98,41.64,8.63,24.44,58.36
110,Ward 110,11,22.471959,88.39425,27470,1.7514,15685.0,2.13,7.27,0.0373,0.1273,2716,1551.0,7628,13681,13789,1894,3432,124,23363,4107,11061,9783,1278,9617,16409,14.95,3.6,40.27,6.89,12.95,59.73
111,Ward 111,11,22.45945,88.370578,38647,2.4266,15926.0,0.35,2.79,0.0086,0.0677,4390,1809.0,10156,19656,18991,2545,1294,136,33705,4942,14893,12949,1944,12650,23754,12.79,3.81,38.54,6.59,3.7,61.46
112,Ward 112,11,22.46586,88.363444,32404,1.6094,20134.0,0.15,0.28,0.0024,0.0045,2826,1756.0,8373,16309,16095,2345,1325,170,27804,4600,12569,11024,1545,10803,19835,14.2,3.87,38.79,7.24,4.61,61.21
113,Ward 113,11,22.466669,88.352518,33475,1.6523,20260.0,1.7,0.59,0.0281,0.0097,2965,1794.0,8508,16721,16754,2439,1460,181,28608,4867,12941,11356,1585,11134,20534,14.54,3.93,38.66,7.29,4.9,61.34
114,Ward 114,11,22.468053,88.343464,41913,2.3085,18156.0,0.17,1.2,0.0039,0.0278,3952,1712.0,10958,21093,20820,3077,2946,60,35392,6521,15912,14182,1730,13670,26001,15.56,3.82,37.96,7.34,7.17,62.04
115,Ward 115,13,22.48,88.341952,31919,1.4732,21666.0,0.6,4.31,0.0088,0.0635,2976,2020.0,8461,16001,15918,1867,615,22,28710,3209,13110,11268,1842,11061,18809,10.05,3.77,41.07,5.85,2.0,58.93
116,Ward 116,13,22.494641,88.334016,28338,1.2224,23182.0,0.13,4.11,0.0016,0.0503,1295,1059.0,6897,14495,13843,2352,1147,28,22585,5753,11227,10475,752,10272,17111,20.3,4.11,39.62,8.3,4.15,60.38
117,Ward 117,13,22.502638,88.336795,21824,0.7318,29822.0,0.18,6.53,0.0013,0.0478,996,1361.0,5226,11121,10703,1742,721,26,17376,4448,9337,8475,862,8268,12487,20.38,4.18,42.78,7.98,3.42,57.22
118,Ward 118,13,22.505542,88.328293,21810,0.8484,25707.0,0.0,0.39,0.0,0.0033,1932,2277.0,5433,10897,10913,1468,621,41,18315,3495,8315,7721,594,7555,13495,16.02,4.01,38.12,6.73,3.04,61.88
119,Ward 119,13,22.506298,88.322378,16491,0.6289,26222.0,5.04,0.78,0.0317,0.0049,1163,1849.0,4081,8319,8172,1009,315,66,14559,1932,6370,5599,771,5507,10121,11.72,4.04,38.63,6.12,2.31,61.37
120,Ward 120,13,22.497558,88.322027,19710,0.6951,28356.0,0.0,1.88,0.0,0.0131,1494,2149.0,5249,9662,10048,1151,534,43,17102,2608,7701,7097,604,6976,12009,13.23,3.76,39.07,5.84,2.93,60.93
121,Ward 121,14,22.491192,88.325838,29921,1.4765,20265.0,5.36,2.9,0.0791,0.0428,2818,1909.0,7712,14919,15002,2023,1132,47,25627,4294,12276,10705,1571,10527,17645,14.35,3.88,41.03,6.76,3.94,58.97
122,Ward 122,13,22.477437,88.331627,39198,3.1571,12416.0,0.31,8.34,0.0099,0.2634,4567,1447.0,9977,19906,19292,2797,1128,85,33810,5388,15371,13552,1819,13187,23827,13.75,3.93,39.21,7.14,3.09,60.79
123,Ward 123,16,22.47742,88.317383,35386,1.8954,18669.0,0.27,2.53,0.0051,0.0479,4284,2260.0,9425,17727,17659,2174,1807,228,31026,4360,13571,12037,1534,11730,21815,12.32,3.75,38.35,6.14,5.75,61.65
124,Ward 124,16,22.466881,88.315056,39179,2.5474,15380.0,0.0,1.19,0.0,0.0304,5481,2152.0,10128,19352,19827,2839,6954,85,33632,5547,14805,12222,2583,11983,24374,14.16,3.87,37.79,7.25,17.97,62.21
125,Ward 125,16,22.466476,88.302216,44850,2.8824,15560.0,0.0,2.1,0.0,0.0606,5125,1778.0,11297,22611,22239,3282,2062,119,38451,6399,16876,14656,2220,14243,27974,14.27,3.97,37.63,7.32,4.86,62.37
126,Ward 126,16,22.470197,88.292292,31631,2.9603,10685.0,0.52,1.97,0.0155,0.0582,3669,1239.0,8247,15756,15875,1983,2203,85,27803,3828,11880,10554,1326,10240,19751,12.1,3.84,37.56,6.27,7.23,62.44
127,Ward 127,14,22.479461,88.285149,43782,3.4251,12783.0,1.0,3.21,0.0344,0.1099,4392,1282.0,11221,21920,21862,3225,4781,61,37238,6544,16745,14482,2263,14123,27037,14.95,3.9,38.25,7.37,11.06,61.75
128,Ward 128,14,22.48845,88.300487,32179,1.8381,17507.0,0.03,1.58,0.0005,0.0291,3454,1879.0,8405,16041,16138,2011,972,439,27957,4222,11855,10441,1414,10140,20324,13.12,3.83,36.84,6.25,4.38,63.16
129,Ward 129,14,22.496737,88.300946,39654,2.113,18767.0,0.72,0.87,0.0152,0.0184,4268,2020.0,10206,19797,19857,2686,1261,159,34217,5437,15287,12805,2482,12501,24367,13.71,3.89,38.55,6.77,3.58,61.45
130,Ward 130,14,22.497489,88.312625,23227,1.0378,22381.0,0.07,1.8,0.0007,0.0187,3135,3021.0,6150,11327,11900,1206,350,20,21040,2187,8851,7783,1068,7590,14376,9.42,3.78,38.11,5.19,1.59,61.89
131,Ward 131,14,22.509027,88.301788,30911,1.4124,21885.0,0.11,1.66,0.0015,0.0234,3386,2397.0,8284,15480,15431,1951,1285,122,27073,3838,11937,10277,1660,9848,18974,12.42,3.73,38.62,6.31,4.55,61.38
132,Ward 132,14,22.510346,88.310559,26274,0.917,28652.0,0.34,3.48,0.0031,0.0319,2275,2481.0,6722,13320,12954,1862,1077,79,22043,4231,10740,9127,1613,8939,15534,16.1,3.91,40.88,7.09,4.4,59.12
133,Ward 133,15,22.541741,88.286971,25588,0.5085,50321.0,0.0,0.31,0.0,0.0016,19,37.0,5306,13294,12294,2409,667,49,19349,6239,9278,7857,1421,7656,16310,24.38,4.82,36.26,9.41,2.8,63.74
134,Ward 134,15,22.544782,88.292092,35780,0.3821,93640.0,0.0,0.0,0.0,0.0,0,0.0,6281,18730,17050,3951,674,18,23474,12306,11829,10162,1667,9648,23951,34.39,5.7,33.06,11.04,1.93,66.94
135,Ward 135,15,22.547215,88.286084,33258,0.3347,99367.0,0.0,0.84,0.0,0.0028,1,3.0,5911,17553,15705,3536,153,1,22513,10745,11248,9680,1568,9034,22010,32.31,5.63,33.82,10.63,0.46,66.18
136,Ward 136,15,22.543597,88.280637,21482,0.5297,40555.0,0.0,5.32,0.0,0.0282,4,8.0,4485,11022,10460,2034,1286,25,16532,4950,7228,6505,723,6182,14254,23.04,4.79,33.65,9.47,6.1,66.35
137,Ward 137,15,22.550363,88.279635,19385,0.625,31016.0,0.0,0.0,0.0,0.0,1,2.0,3373,10507,8878,2318,73,34,13511,5874,6243,5361,882,4335,13142,30.3,5.75,32.21,11.96,0.55,67.79
138,Ward 138,15,22.547748,88.269645,28858,0.8084,35698.0,0.0,0.0,0.0,0.0,3,4.0,4629,15581,13277,3575,29,0,19890,8968,10786,9774,1012,5995,18072,31.08,6.23,37.38,12.39,0.1,62.62
139,Ward 139,15,22.540481,88.268258,42014,1.6156,26005.0,0.0,0.71,0.0,0.0115,1,1.0,6937,22225,19789,5240,0,0,28523,13491,15017,12355,2662,7133,26997,32.11,6.06,35.74,12.47,0.0,64.26
140,Ward 140,15,22.545266,88.260635,30504,1.5474,19713.0,0.0,0.0,0.0,0.0,0,0.0,5004,16074,14430,3889,1730,37,21273,9231,11744,9935,1809,5400,18760,30.26,6.1,38.5,12.75,5.79,61.5
141,Ward 141,15,22.550704,88.249654,41152,2.6091,15772.0,0.0,0.69,0.0,0.018,30,11.0,7755,21452,19700,5383,3079,16,26880,14272,14647,12186,2461,9570,26505,34.68,5.31,35.59,13.08,7.52,64.41
