ward_id,ward_name,borough,lat,lon,population,area_km2,pop_density_km2,green_cover_pct,water_pct,green_km2,water_km2,building_count,building_density_km2
49,Ward 49,5,22.56972,88.368236,19416,0.2583,75168.0,0.7,0.0,0.0018,0.0,527,2040.0
50,Ward 50,5,22.564221,88.366027,17251,0.3836,44971.0,2.63,0.0,0.0101,0.0,399,1040.0
51,Ward 51,6,22.564335,88.361457,13556,0.2988,45368.0,7.7,0.0,0.023,0.0,452,1513.0
52,Ward 52,6,22.56012,88.35647,16869,0.2388,70641.0,0.0,0.0,0.0,0.0,206,863.0
53,Ward 53,6,22.558785,88.362036,25598,0.3449,74219.0,2.2,0.0,0.0076,0.0,379,1099.0
54,Ward 54,6,22.556044,88.367444,36235,0.3768,96165.0,0.0,0.0,0.0,0.0,474,1258.0
55,Ward 55,6,22.558479,88.371927,32254,0.9791,32942.0,2.74,1.14,0.0268,0.0112,836,854.0
56,Ward 56,7,22.556818,88.378832,43622,0.678,64339.0,0.0,1.52,0.0,0.0103,457,674.0
57,Ward 57,7,22.555716,88.401221,49856,2.7367,18218.0,0.16,30.17,0.0043,0.8257,1753,641.0
58,Ward 58,7,22.542414,88.40684,88465,10.8132,8181.0,0.65,9.24,0.0699,0.9991,2721,252.0
59,Ward 59,7,22.544029,88.379744,70261,1.944,36142.0,0.36,4.51,0.007,0.0877,1872,963.0
60,Ward 60,6,22.549314,88.368248,35732,0.5821,61385.0,2.23,0.0,0.013,0.0,716,1230.0
61,Ward 61,6,22.548857,88.361671,29704,0.6428,46210.0,0.02,0.0,0.0001,0.0,612,952.0
62,Ward 62,6,22.555288,88.360589,34832,0.3881,89750.0,0.85,1.65,0.0033,0.0064,471,1214.0
63,Ward 63,7,22.549455,88.347418,24387,3.8004,6417.0,28.41,2.63,1.0796,0.0998,924,243.0
64,Ward 64,7,22.541842,88.366255,31280,0.8517,36727.0,11.62,0.34,0.099,0.0029,984,1155.0
65,Ward 65,7,22.534267,88.369661,72427,1.3328,54342.0,0.01,1.1,0.0001,0.0147,1958,1469.0
66,Ward 66,7,22.533166,88.385591,98024,1.9088,51354.0,0.19,6.45,0.0037,0.1232,3292,1725.0
67,Ward 67,7,22.523303,88.380533,56284,1.8359,30657.0,0.3,4.55,0.0055,0.0835,3668,1998.0
68,Ward 68,8,22.522617,88.369032,20724,0.9284,22322.0,0.28,0.28,0.0026,0.0026,1611,1735.0
69,Ward 69,8,22.532703,88.358994,44111,2.0176,21863.0,1.55,0.58,0.0313,0.0117,1573,780.0
70,Ward 70,8,22.536214,88.350283,18618,0.8327,22359.0,1.12,0.0,0.0093,0.0,996,1196.0
71,Ward 71,9,22.536421,88.340703,29922,1.04,28771.0,0.77,0.94,0.008,0.0098,1158,1113.0
72,Ward 72,8,22.528005,88.349336,19167,0.5777,33178.0,3.69,0.97,0.0213,0.0056,1019,1764.0
73,Ward 73,9,22.528926,88.343359,23512,0.5421,43372.0,2.93,0.0,0.0159,0.0,1009,1861.0
74,Ward 74,9,22.527288,88.333626,42176,3.3487,12595.0,9.48,0.54,0.3173,0.018,1367,408.0
75,Ward 75,9,22.546945,88.325945,26925,0.5631,47816.0,0.71,0.8,0.004,0.0045,489,868.0
76,Ward 76,9,22.542199,88.322404,21946,0.4364,50289.0,3.67,0.0,0.016,0.0,641,1469.0
77,Ward 77,9,22.53734,88.32356,45984,0.4951,92878.0,0.48,0.42,0.0024,0.0021,922,1862.0
78,Ward 78,9,22.531055,88.322656,54090,0.6822,79288.0,1.29,0.15,0.0088,0.001,792,1161.0
79,Ward 79,9,22.525843,88.316757,44303,2.932,15110.0,0.46,7.28,0.0135,0.2134,473,161.0
80,Ward 80,9,22.530148,88.299217,31094,9.0756,3426.0,0.53,10.56,0.0483,0.9585,842,93.0
81,Ward 81,10,22.510607,88.332207,41501,1.274,32575.0,0.57,0.0,0.0072,0.0,1863,1462.0
82,Ward 82,9,22.516529,88.336667,38838,0.9264,41924.0,1.26,0.13,0.0117,0.0012,1265,1366.0
83,Ward 83,8,22.520243,88.34336,22163,0.4812,46058.0,0.54,0.04,0.0026,0.0002,886,1841.0
84,Ward 84,8,22.520583,88.349337,19230,0.4651,41346.0,3.68,0.0,0.0171,0.0,956,2055.0
85,Ward 85,8,22.521263,88.356663,29566,0.7146,41374.0,2.74,0.46,0.0196,0.0033,1176,1646.0
86,Ward 86,8,22.520804,88.364163,19195,0.8882,21611.0,6.92,0.07,0.0615,0.0006,1372,1545.0
87,Ward 87,8,22.512696,88.349683,12675,0.7476,16954.0,33.51,0.0,0.2505,0.0,978,1308.0
88,Ward 88,8,22.512563,88.343382,23672,0.4895,48360.0,0.53,0.0,0.0026,0.0,792,1618.0
89,Ward 89,10,22.504329,88.349387,22304,0.6988,31918.0,0.66,1.0,0.0046,0.007,1172,1677.0
90,Ward 90,8,22.513503,88.363843,18857,1.146,16455.0,54.89,1.94,0.629,0.0222,984,859.0
91,Ward 91,10,22.515507,88.3791,38450,1.0795,35618.0,1.36,5.1,0.0147,0.0551,2336,2164.0
92,Ward 92,10,22.505468,88.372901,36450,1.5754,23137.0,0.94,3.16,0.0148,0.0498,2745,1742.0
93,Ward 93,10,22.503185,88.360442,44364,1.8685,23743.0,2.12,2.91,0.0396,0.0544,3110,1664.0
94,Ward 94,10,22.495317,88.352236,27469,1.6719,16430.0,49.51,3.49,0.8278,0.0584,1470,879.0
